"ensembl_gene_id","ensembl_gene_id_clean","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000180921.8","ENSG00000180921","FAM83H",1525.28908171908,2.70744463140564,0.376603466479286,7.18911234863674,6.52138969903843e-13,6.20608050708992e-09,"up_in_tumor"
"ENSG00000256500.6","ENSG00000256500","",54.6109182694817,8.65591343509257,1.36263126723509,6.35235198488896,2.12047428530661e-10,1.34529956907469e-06,"up_in_tumor"
"ENSG00000178773.16","ENSG00000178773","CPNE7",551.399263492482,5.32364577877653,0.922406859071459,5.77147245428723,7.85818062780128e-09,3.73911879722354e-05,"up_in_tumor"
"ENSG00000042832.12","ENSG00000042832","TG",112.851152351571,3.62100058618139,0.640978212734671,5.64917888664692,1.61216026088716e-08,6.13684924909306e-05,"up_in_tumor"
"ENSG00000170373.9","ENSG00000170373","CST1",390.507257452336,5.25943063981168,0.970662723128117,5.41839149118894,6.01376196096432e-08,0.00019076655233839,"up_in_tumor"
"ENSG00000105464.5","ENSG00000105464","GRIN2D",281.112468098795,5.19508314635576,0.985117657450859,5.27356616447097,1.3379798508717e-07,0.000363796721452014,"up_in_tumor"
"ENSG00000167767.14","ENSG00000167767","KRT80",84.2685119557458,4.34365765834842,0.83069820754581,5.22892383646907,1.70499581713016e-07,0.000396521242059164,"up_in_tumor"
"ENSG00000185666.16","ENSG00000185666","SYN3",174.595188185753,4.4684338628054,0.857447359942261,5.2113215009564,1.87500193271291e-07,0.000396521242059164,"up_in_tumor"
"ENSG00000290226.1","ENSG00000290226","",23.0336530277386,7.72502804635363,1.50625761994762,5.12862338025702,2.91868584176893e-07,0.000555513476263881,"up_in_tumor"
"ENSG00000113739.11","ENSG00000113739","STC2",370.553017002512,4.6823988955405,0.918657808563363,5.09700004930349,3.45078238839393e-07,0.000591760298868062,"up_in_tumor"
"ENSG00000181085.16","ENSG00000181085","MAPK15",316.526561655649,3.6608976096807,0.720337688500533,5.08219640333034,3.73095338959531e-07,0.000591760298868062,"up_in_tumor"
"ENSG00000261093.1","ENSG00000261093","",22.1337790558623,7.4825132978856,1.52571325579225,4.90427232606051,9.37743167392601e-07,0.00137292813115257,"up_in_tumor"
"ENSG00000062038.16","ENSG00000062038","CDH3",383.263508427154,3.61952845958964,0.748296887475011,4.83702193631068,1.31798887599135e-06,0.00156783014229646,"up_in_tumor"
"ENSG00000060718.23","ENSG00000060718","COL11A1",351.926053395804,3.39342539881813,0.721193657172627,4.70529013264169,2.53505171024098e-06,0.00265439421058704,"up_in_tumor"
"ENSG00000173898.17","ENSG00000173898","SPTBN2",569.483430041167,2.72868171408172,0.580081965161191,4.7039588850577,2.55164654382203e-06,0.00265439421058704,"up_in_tumor"
"ENSG00000158296.14","ENSG00000158296","SLC13A3",231.341749819615,4.6992992463564,1.02350361113226,4.59138511603078,4.40313992721064e-06,0.00304470365313578,"up_in_tumor"
"ENSG00000205609.14","ENSG00000205609","EIF3CL",292.376529985982,2.19035788254702,0.475454968667255,4.60686716280787,4.08780954731793e-06,0.00304470365313578,"up_in_tumor"
"ENSG00000254166.5","ENSG00000254166","PCAT2",336.140966581342,3.08501055757817,0.669843980956942,4.60556584112454,4.11345806623268e-06,0.00304470365313578,"up_in_tumor"
"ENSG00000289744.1","ENSG00000289744","",16.7042943197029,7.31423497876099,1.59519004463276,4.58518093400267,4.53593463590199e-06,0.00304470365313578,"up_in_tumor"
"ENSG00000175832.14","ENSG00000175832","ETV4",712.131704965537,3.82580816177287,0.837086070086725,4.57038803832503,4.86821955717304e-06,0.00308856076105582,"up_in_tumor"
